sample,elapsed_s,total_ms,decode_wait_ms,prepare_ms,submit_to_flip_ms,other_ms
224,1.936617,8.81,4.613,1.761,1.834,0.602
225,1.944935,8.595,4.514,1.74,1.979,0.362
226,1.955716,7.946,4.611,1.781,0.864,0.69
227,1.963642,8.213,4.518,1.702,1.439,0.554
228,1.972213,8.071,4.497,1.8,1.12,0.654
229,1.980711,7.857,4.536,1.705,1.021,0.595
230,1.988486,8.142,4.542,1.648,1.625,0.327
231,1.997225,8.099,4.492,1.701,1.218,0.688
232,2.007915,8.134,4.663,1.777,0.943,0.751
233,2.017656,7.821,4.625,1.72,0.964,0.512
234,2.025702,7.935,4.508,1.679,1.397,0.351
235,2.034412,7.93,4.53,1.734,1.187,0.479
236,2.043069,8.015,4.525,1.786,0.954,0.75
237,2.05134,8.136,4.482,1.782,1.059,0.813
238,2.059195,8.391,4.499,1.707,1.594,0.591
239,2.067806,8.15,4.526,1.669,1.329,0.626
240,2.075832,8.13,4.556,1.709,1.564,0.301
241,2.084944,7.877,4.519,1.712,0.906,0.74
242,2.092819,8.168,4.54,1.634,1.412,0.582
243,2.101326,8.169,4.62,1.699,1.317,0.533
244,2.109874,8.095,4.623,1.685,1.136,0.651
245,2.117801,8.415,4.639,1.694,1.525,0.557
246,2.12657,8.252,4.634,1.673,1.272,0.673
247,2.136455,8.116,4.641,1.609,1.359,0.507
248,2.145042,8.205,4.612,1.713,1.295,0.585
249,2.153551,8.202,4.625,1.728,1.193,0.656
250,2.161465,8.385,4.636,1.728,1.596,0.425
251,2.170192,8.485,4.587,1.751,1.432,0.715
252,2.178049,8.651,4.61,1.152,2.474,0.415
253,2.186489,8.477,4.629,1.652,1.856,0.34
254,2.195295,8.393,4.613,1.64,1.41,0.73
255,2.205896,8.84,4.652,1.803,1.56,0.825
256,2.213752,8.951,4.72,1.788,1.989,0.454
257,2.221912,9.029,4.649,1.74,2.285,0.355
258,2.23035,9.253,4.577,1.72,2.269,0.687
259,2.238612,9.215,4.626,1.797,2.216,0.576
260,2.246639,9.311,4.547,1.916,2.47,0.378
261,2.255086,9.148,4.509,1.808,2.509,0.322
262,2.266403,7.828,4.598,1.694,0.815,0.721
263,2.276161,8.065,4.596,1.721,1.103,0.645
264,2.28445,8.059,4.563,1.7,1.197,0.599
265,2.292781,8.07,4.527,1.787,1.155,0.601
266,2.301022,8.042,4.55,1.862,1.219,0.411
267,2.309684,8.274,4.542,1.781,1.207,0.744
268,2.317526,8.382,4.547,1.707,1.764,0.364
269,2.326264,8.324,4.503,1.659,1.463,0.699
270,2.334966,7.977,4.545,1.763,0.948,0.721
271,2.342705,8.407,4.536,1.721,1.584,0.566
272,2.3509,8.376,4.528,1.761,1.697,0.39
273,2.359868,7.741,4.561,1.795,0.996,0.389
274,2.368063,8.138,4.523,1.794,1.175,0.646
275,2.376362,7.977,4.494,1.524,1.513,0.446
276,2.384997,8.056,4.526,1.853,0.956,0.721
277,2.395042,7.842,4.577,1.82,1.036,0.409
278,2.402938,8.201,4.583,1.135,2.154,0.329
279,2.411504,7.991,4.621,1.798,1.241,0.331
280,2.419916,7.953,4.633,1.731,1.22,0.369
281,2.428469,7.919,4.673,1.658,1.175,0.413
282,2.436664,8.255,4.616,1.649,1.379,0.611
283,2.444965,8.005,4.605,1.699,1.369,0.332
284,2.455586,8.341,4.626,1.636,1.229,0.85
285,2.463642,8.138,4.604,1.673,1.49,0.371
286,2.472211,7.937,4.579,1.68,1.278,0.4
287,2.480468,8.168,4.617,1.637,1.36,0.554
288,2.489282,8.255,4.59,1.681,1.334,0.65
289,2.497063,8.722,4.597,1.712,1.843,0.57
290,2.507717,8.431,4.617,1.679,1.25,0.885
291,2.515413,8.476,4.654,1.671,1.851,0.3
292,2.524488,8.271,4.639,1.72,1.253,0.659
293,2.532522,8.501,4.628,1.741,1.566,0.566
294,2.540773,8.352,4.615,1.764,1.617,0.356
295,2.548861,8.72,4.551,1.282,2.402,0.485
296,2.557736,8.608,4.531,1.748,1.431,0.898
297,2.565924,8.253,4.57,1.76,1.52,0.403
298,2.574522,8.243,4.501,1.734,1.348,0.66
299,2.584931,8.115,4.604,1.709,0.96,0.842
300,2.593148,7.786,4.49,1.764,1.131,0.401
301,2.601169,8.223,4.482,1.628,1.595,0.518
302,2.610221,7.883,4.492,1.745,1.014,0.632
303,2.618139,8.309,4.486,1.154,2.03,0.639
304,2.626407,8.148,4.537,1.684,1.507,0.42
305,2.636852,8.226,4.626,1.733,0.96,0.907
306,2.645017,8.14,4.55,2.041,1.103,0.446
307,2.652998,8.472,4.556,1.654,1.848,0.414
308,2.662036,8.34,4.522,1.79,1.206,0.822
309,2.669849,8.478,4.533,1.69,1.813,0.442
310,2.67888,8.174,4.508,1.738,1.16,0.768
311,2.686839,8.424,4.533,1.731,1.519,0.641
312,2.695487,9.139,4.542,2.413,1.418,0.766
313,2.705541,8.284,4.682,1.786,1.342,0.474
314,2.715479,8.157,4.631,1.737,1.313,0.476
315,2.724051,8.106,4.595,1.844,1.2,0.467
316,2.732401,8.747,4.643,1.715,1.625,0.764
317,2.740949,8.669,4.601,1.738,1.515,0.815
318,2.749395,8.311,4.638,1.719,1.385,0.569
319,2.757285,8.672,4.618,1.673,1.888,0.493
320,2.765911,8.457,4.621,1.702,1.564,0.57
321,2.774172,8.472,4.616,1.721,1.626,0.509
322,2.78284,8.364,4.615,1.734,1.392,0.623
323,2.791005,8.457,4.601,1.702,1.606,0.548
324,2.79948,8.63,4.622,1.098,2.052,0.858
325,2.807354,8.548,4.596,1.685,1.944,0.323
326,2.816216,8.266,4.583,1.675,1.439,0.569
327,2.826087,8.043,4.574,1.719,1.252,0.498
328,2.834695,8.086,4.628,1.674,1.225,0.559
329,2.842874,7.996,4.615,1.744,1.318,0.319
330,2.851191,8.173,4.482,1.533,1.683,0.475
331,2.859742,8.126,4.536,1.798,1.143,0.649
332,2.867903,8.246,4.504,1.733,1.415,0.594
333,2.876239,8.184,4.489,1.676,1.481,0.538
334,2.884979,7.985,4.554,1.668,1.036,0.727
335,2.895287,7.115,4.616,1.147,0.728,0.624
336,2.902963,7.535,4.564,1.834,0.753,0.384
337,2.912032,7.963,4.541,1.749,0.932,0.741
338,2.919878,8.266,4.546,1.748,1.419,0.553
339,2.928456,7.992,4.524,1.691,1.251,0.526
340,2.937121,7.721,4.491,1.807,0.837,0.586
