sample,elapsed_s,total_ms,decode_wait_ms,prepare_ms,submit_to_flip_ms,other_ms
213,1.838481,6.219,4.565,0.085,1.339,0.23
214,1.847162,6.017,4.513,0.072,1.066,0.366
215,1.855577,5.829,4.463,0.087,1.028,0.251
216,1.863636,6.102,4.449,0.104,0.867,0.682
217,1.87209,5.998,4.503,0.078,0.846,0.571
218,1.880728,5.862,4.481,0.148,1.019,0.214
219,1.890766,5.797,4.558,0.098,0.929,0.212
220,1.898872,6.011,4.491,0.084,1.21,0.226
221,1.907423,6.019,4.497,0.115,0.722,0.685
222,1.915996,5.784,4.521,0.09,0.713,0.46
223,1.924495,5.601,4.475,0.077,0.69,0.359
224,1.932432,5.982,4.479,0.121,0.674,0.708
225,1.941084,5.67,4.502,0.075,0.655,0.438
226,1.951016,6.147,4.624,0.1,0.616,0.807
227,1.959589,5.885,4.457,0.081,0.599,0.748
228,1.967492,6.374,4.454,0.121,0.636,1.163
229,1.97628,5.949,4.514,0.076,0.651,0.708
230,1.984293,6.258,4.5,0.108,0.633,1.017
231,1.992894,6.16,4.489,0.082,0.755,0.834
232,2.00348,5.533,4.538,0.074,0.666,0.255
233,2.013448,5.467,4.526,0.068,0.624,0.249
234,2.02182,5.567,4.621,0.078,0.645,0.223
235,2.030104,5.611,4.602,0.073,0.754,0.182
236,2.038509,5.643,4.574,0.082,0.806,0.181
237,2.046528,5.982,4.573,0.072,1.134,0.203
238,2.055291,5.732,4.6,0.069,0.837,0.226
239,2.063816,5.587,4.637,0.072,0.66,0.218
240,2.071825,6.556,4.613,0.089,0.736,1.118
241,2.080178,6.573,4.64,0.112,0.755,1.066
242,2.088863,6.207,4.616,0.068,0.741,0.782
243,2.096875,6.547,4.61,0.099,0.726,1.112
244,2.105385,6.403,4.574,0.064,0.725,1.04
245,2.113487,6.686,4.542,0.068,0.738,1.338
246,2.122027,6.481,4.603,0.119,0.726,1.033
247,2.130811,6.313,4.611,0.124,0.823,0.755
248,2.140399,5.798,4.534,0.066,0.963,0.235
249,2.149075,5.82,4.619,0.084,0.774,0.343
250,2.157653,5.574,4.571,0.072,0.642,0.289
251,2.165484,6.949,4.6,0.064,0.792,1.493
252,2.174609,6.261,4.599,0.132,0.88,0.65
253,2.182013,7.172,4.602,0.124,0.858,1.588
254,2.193035,5.68,4.611,0.088,0.792,0.189
255,2.201077,6.765,4.608,0.07,0.73,1.357
256,2.209313,6.968,4.585,0.072,0.736,1.575
257,2.217938,6.666,4.584,0.123,0.754,1.205
258,2.226176,6.817,4.582,0.126,0.74,1.369
259,2.234512,6.755,4.566,0.083,0.717,1.389
260,2.242657,6.976,4.606,0.144,0.705,1.521
261,2.253484,5.765,4.553,0.089,0.876,0.247
262,2.263466,5.729,4.593,0.086,0.838,0.212
263,2.27197,5.808,4.6,0.091,0.806,0.311
264,2.280082,5.972,4.592,0.104,1.017,0.259
265,2.28847,5.881,4.556,0.065,1.033,0.227
266,2.296622,6.064,4.561,0.077,1.208,0.218
267,2.305282,5.744,4.613,0.067,0.84,0.224
268,2.313435,5.927,4.58,0.06,1.061,0.226
269,2.322044,5.995,4.6,0.12,1.002,0.273
270,2.330843,5.743,4.569,0.091,0.878,0.205
271,2.338574,6.378,4.57,0.065,1.489,0.254
272,2.347041,6.233,4.612,0.066,1.323,0.232
273,2.355302,6.299,4.608,0.061,1.392,0.238
274,2.363855,6.09,4.589,0.047,1.191,0.263
275,2.372023,6.337,4.589,0.081,1.358,0.309
276,2.380512,6.079,4.572,0.079,1.21,0.218
277,2.390863,7.063,4.573,0.088,0.753,1.649
278,2.39886,7.419,4.607,0.084,0.738,1.99
279,2.408142,6.721,4.587,0.07,0.722,1.342
280,2.415519,7.514,4.596,0.078,0.778,2.062
281,2.424094,7.381,4.622,0.124,0.824,1.811
282,2.43256,7.189,4.569,0.092,0.801,1.727
283,2.44259,7.495,4.57,0.128,0.687,2.11
284,2.451,7.44,4.517,0.104,0.676,2.143
285,2.45967,7.105,4.485,0.105,0.68,1.835
286,2.467569,7.576,4.461,0.081,0.691,2.343
287,2.476356,7.196,4.454,0.104,0.762,1.876
288,2.484778,7.179,4.513,0.111,0.781,1.774
289,2.492617,7.639,4.46,0.079,0.759,2.341
290,2.501283,7.309,4.506,0.183,0.687,1.933
291,2.51167,7.306,4.585,0.069,0.675,1.977
292,2.521801,5.689,4.593,0.1,0.778,0.218
293,2.53019,5.622,4.514,0.075,0.801,0.232
294,2.538479,5.668,4.486,0.073,0.782,0.327
295,2.547165,5.619,4.512,0.125,0.803,0.179
296,2.555185,6.034,4.505,0.091,1.053,0.385
297,2.56392,7.437,4.519,0.085,0.831,2.002
298,2.571838,7.906,4.493,0.188,0.886,2.339
299,2.580399,7.673,4.499,0.158,0.869,2.147
300,2.588702,7.864,4.447,0.139,0.85,2.428
301,2.597071,7.753,4.509,0.118,0.83,2.296
302,2.605024,8.219,4.616,0.113,0.956,2.534
303,2.613448,8.11,4.536,0.115,0.934,2.525
304,2.621994,8.068,4.593,0.131,0.914,2.43
305,2.630551,7.656,4.545,0.081,0.897,2.133
306,2.641259,5.892,4.583,0.1,0.931,0.278
307,2.648827,6.59,4.584,0.105,1.376,0.525
308,2.657377,6.386,4.589,0.073,1.357,0.367
309,2.665825,6.251,4.607,0.067,1.339,0.238
310,2.673875,6.526,4.65,0.099,1.312,0.465
311,2.682506,6.245,4.557,0.075,1.297,0.316
312,2.692512,8.225,4.616,0.109,0.773,2.727
313,2.701363,7.813,4.602,0.083,0.768,2.36
314,2.709793,7.679,4.602,0.101,0.757,2.219
315,2.718157,7.718,4.6,0.097,0.808,2.213
316,2.726189,8.027,4.624,0.079,0.79,2.534
317,2.73442,8.101,4.593,0.146,0.748,2.614
318,2.742715,8.136,4.567,0.102,0.746,2.721
319,2.753422,5.759,4.549,0.084,0.726,0.4
320,2.763419,6.389,4.542,0.111,0.898,0.838
321,2.771966,6.192,4.51,0.147,0.88,0.655
322,2.780452,5.99,4.497,0.12,0.856,0.517
323,2.788479,6.319,4.494,0.078,0.838,0.909
324,2.79687,6.273,4.489,0.07,0.817,0.897
325,2.805103,6.341,4.496,0.111,0.797,0.937
326,2.813499,6.295,4.464,0.103,0.779,0.949
327,2.821734,8.553,4.475,0.135,0.83,3.113
