sample,elapsed_s,total_ms,decode_wait_ms,prepare_ms,submit_to_flip_ms,other_ms
181,1.567938,9.18,4.81,3.114,0.956,0.3
182,1.576014,9.481,4.763,3.103,1.262,0.353
183,1.584518,9.264,4.632,3.541,0.831,0.26
184,1.595038,9.091,4.6,3.623,0.56,0.308
185,1.603472,8.991,4.517,2.947,1.014,0.513
186,1.61145,9.316,4.67,3.435,0.928,0.283
187,1.620036,9.232,4.651,3.789,0.53,0.262
188,1.6283,9.592,4.737,2.869,1.155,0.831
189,1.636346,9.585,4.541,2.305,1.638,1.101
190,1.644901,9.431,4.605,3.296,1.202,0.328
191,1.653271,9.316,4.569,3.084,1.354,0.309
192,1.663545,9.112,4.578,3.547,0.6,0.387
193,1.672416,8.575,4.582,2.959,0.53,0.504
194,1.680426,9.123,4.725,3.592,0.543,0.263
195,1.6887,9.351,4.731,2.189,1.014,1.417
196,1.696991,9.23,4.65,3.175,1.131,0.274
197,1.705206,9.368,4.525,3.152,1.393,0.298
198,1.713769,9.214,4.641,3.305,0.905,0.363
199,1.72224,8.993,4.555,3.053,1.011,0.374
200,1.732067,9.068,4.579,3.664,0.544,0.281
201,1.742571,8.844,4.593,3.424,0.544,0.283
202,1.750866,8.856,4.523,3.32,0.754,0.259
203,1.759284,8.768,4.501,3.13,0.862,0.275
204,1.767356,9.021,4.577,3.002,1.053,0.389
205,1.775923,8.838,4.509,3.357,0.675,0.297
206,1.784309,8.755,4.567,2.065,0.773,1.35
207,1.792617,8.795,4.507,3.435,0.578,0.275
208,1.80115,8.783,4.599,3.296,0.583,0.305
209,1.809532,8.972,4.627,3.547,0.526,0.272
210,1.817717,9.194,4.719,2.455,0.986,1.034
211,1.825957,9.237,4.636,3.245,1.054,0.302
212,1.834496,8.983,4.632,2.965,0.961,0.425
213,1.845032,8.674,4.583,3.184,0.563,0.344
214,1.853476,8.924,4.58,3.513,0.53,0.301
215,1.861539,9.265,4.775,2.252,0.977,1.261
216,1.869971,9.066,4.602,3.26,0.936,0.268
217,1.877959,9.474,4.683,3.82,0.641,0.33
218,1.88658,9.167,4.691,3.367,0.793,0.316
219,1.895052,8.999,4.708,3.116,0.846,0.329
220,1.905227,8.685,4.582,3.091,0.589,0.423
221,1.913453,9.013,4.675,3.485,0.563,0.29
222,1.922621,8.938,4.613,3.377,0.561,0.387
223,1.930506,9.351,4.812,2.321,1.055,1.163
224,1.938423,9.656,4.573,2.9,1.711,0.472
225,1.947016,9.484,4.614,3.262,1.286,0.322
226,1.955322,9.495,4.571,3.058,1.482,0.384
227,1.963914,9.288,4.612,3.766,0.555,0.355
228,1.97432,8.64,4.583,2.968,0.576,0.513
229,1.984249,8.664,4.576,3.046,0.596,0.446
230,1.992516,8.663,4.619,2.856,0.629,0.559
231,2.000828,8.822,4.611,3.353,0.563,0.295
232,2.009278,8.664,4.659,2.993,0.605,0.407
233,2.017542,9.054,4.65,3.494,0.622,0.288
234,2.026064,9.092,4.659,3.644,0.511,0.278
235,2.034313,9.346,4.794,3.441,0.67,0.441
236,2.042775,9.069,4.617,2.296,1.01,1.146
237,2.051071,9.314,4.652,3.78,0.614,0.268
238,2.059589,9.226,4.67,3.403,0.798,0.355
239,2.067778,9.534,4.764,3.915,0.515,0.34
240,2.076416,9.488,4.772,3.545,0.659,0.512
241,2.086717,8.957,4.579,3.356,0.643,0.379
242,2.094988,8.999,4.604,3.202,0.837,0.356
243,2.103323,8.943,4.592,2.96,0.885,0.506
244,2.111352,9.235,4.463,3.017,1.316,0.439
245,2.119951,9.307,4.603,3.87,0.541,0.293
246,2.128249,9.587,4.901,2.91,0.979,0.797
247,2.136358,9.554,4.584,3.84,0.81,0.32
248,2.144828,9.521,4.73,3.279,1.123,0.389
249,2.153256,9.324,4.51,3.591,0.937,0.286
250,2.163523,9.187,4.611,3.592,0.6,0.384
251,2.172369,8.722,4.587,3.064,0.601,0.47
252,2.180501,8.911,4.496,2.975,0.894,0.546
253,2.188643,9.129,4.628,3.449,0.708,0.344
254,2.196892,9.28,4.729,2.168,0.909,1.474
255,2.205263,9.251,4.576,2.07,1.053,1.552
256,2.215976,9.539,4.596,3.725,0.69,0.528
257,2.225935,9.6,4.587,3.92,0.623,0.47
258,2.234289,9.528,4.733,2.265,1.134,1.396
259,2.24279,9.253,4.6,3.386,0.943,0.324
260,2.250926,9.482,4.652,3.266,1.184,0.38
261,2.259281,9.448,4.617,3.698,0.746,0.387
262,2.267604,9.534,4.773,2.183,1.095,1.483
263,2.275877,9.649,4.555,2.172,1.374,1.548
264,2.28451,9.322,4.555,2.155,1.073,1.539
265,2.292326,9.686,4.572,2.063,1.575,1.476
266,2.30117,9.156,4.613,2.07,1.038,1.435
267,2.30938,9.27,4.594,3.213,1.188,0.275
268,2.317458,9.479,4.618,3.681,0.965,0.215
269,2.326161,9.42,4.653,3.796,0.77,0.201
270,2.334528,9.563,4.863,2.137,1.088,1.475
