sample,elapsed_s,total_ms,decode_wait_ms,prepare_ms,submit_to_flip_ms,other_ms
324,2.79713,4.839,2.355,0.091,0.767,1.626
325,2.805208,5.142,2.347,0.062,0.801,1.932
326,2.813919,4.742,2.376,0.096,0.793,1.477
327,2.821835,5.145,2.327,0.077,0.801,1.94
328,2.830567,4.755,2.39,0.066,0.799,1.5
329,2.840727,3.445,2.374,0.068,0.802,0.201
330,2.849277,3.289,2.404,0.086,0.608,0.191
331,2.8573,3.606,2.395,0.095,0.927,0.189
332,2.865821,3.419,2.357,0.069,0.779,0.214
333,2.874332,3.514,2.385,0.087,0.854,0.188
334,2.882339,5.052,2.397,0.076,0.777,1.802
335,2.893164,3.359,2.38,0.074,0.678,0.227
336,2.903073,3.315,2.382,0.078,0.639,0.216
337,2.911436,3.382,2.406,0.084,0.682,0.21
338,2.919784,3.338,2.35,0.071,0.723,0.194
339,2.928117,3.376,2.348,0.075,0.729,0.224
340,2.936566,3.287,2.388,0.103,0.625,0.171
341,2.944762,3.428,2.352,0.065,0.808,0.203
342,2.953191,3.352,2.385,0.093,0.68,0.194
343,2.961566,3.478,2.362,0.092,0.836,0.188
344,2.970163,4.609,2.365,0.084,0.678,1.482
345,2.97838,4.796,2.427,0.067,0.742,1.56
346,2.986869,4.675,2.354,0.075,0.775,1.471
347,2.995113,4.886,2.367,0.084,0.854,1.581
348,3.003189,5.132,2.349,0.074,0.858,1.851
349,3.011716,4.921,2.399,0.077,0.86,1.585
350,3.020182,4.783,2.372,0.079,0.865,1.467
351,3.030178,3.334,2.407,0.095,0.667,0.165
352,3.038764,3.463,2.355,0.064,0.838,0.206
353,3.047297,3.478,2.356,0.075,0.865,0.182
354,3.055282,3.867,2.351,0.089,1.218,0.209
355,3.063738,3.736,2.356,0.07,1.092,0.218
356,3.072261,3.601,2.401,0.085,0.914,0.201
357,3.082387,4.958,2.372,0.087,0.747,1.752
358,3.090918,4.761,2.335,0.08,0.749,1.597
359,3.098923,5.093,2.339,0.108,0.75,1.896
360,3.107352,5.01,2.386,0.084,0.751,1.789
361,3.115838,4.834,2.281,0.11,0.752,1.691
362,3.123924,5.101,2.35,0.086,0.758,1.907
363,3.132241,5.121,2.379,0.08,0.76,1.902
364,3.14081,4.887,2.347,0.082,0.763,1.695
365,3.15095,5.015,2.39,0.081,0.602,1.942
366,3.159533,4.978,2.365,0.089,0.787,1.737
367,3.167868,4.956,2.391,0.084,0.79,1.691
368,3.176338,4.811,2.37,0.064,0.789,1.588
369,3.184305,5.168,2.381,0.073,0.785,1.929
370,3.192845,4.989,2.345,0.082,0.8,1.762
371,3.201405,4.76,2.393,0.077,0.8,1.49
372,3.21197,3.44,2.378,0.098,0.768,0.196
373,3.219882,4.899,2.341,0.078,0.668,1.812
374,3.228603,4.525,2.377,0.067,0.679,1.402
375,3.236471,5.079,2.349,0.077,0.773,1.88
376,3.244891,5.04,2.344,0.092,0.798,1.806
377,3.253477,4.793,2.384,0.079,0.795,1.535
378,3.261616,4.985,2.395,0.068,0.82,1.702
379,3.271946,3.481,2.377,0.09,0.826,0.188
380,3.280463,3.305,2.385,0.093,0.65,0.177
381,3.288478,3.624,2.387,0.086,0.968,0.183
382,3.296792,3.644,2.333,0.068,1.044,0.199
383,3.305496,3.468,2.384,0.103,0.788,0.193
384,3.313579,3.713,2.397,0.077,1.038,0.201
385,3.322088,3.542,2.38,0.08,0.882,0.2
386,3.332243,5.159,2.37,0.075,0.785,1.929
387,3.340691,5.032,2.36,0.076,0.788,1.808
388,3.34892,5.15,2.342,0.082,0.786,1.94
389,3.357638,4.834,2.399,0.086,0.849,1.5
390,3.365506,5.3,2.337,0.085,0.853,2.025
391,3.374108,5.055,2.42,0.075,0.849,1.711
392,3.382467,5.008,2.39,0.089,0.856,1.673
393,3.391009,4.797,2.38,0.077,0.854,1.486
394,3.401376,4.56,2.373,0.078,0.597,1.512
395,3.409378,5.086,2.346,0.071,0.776,1.893
396,3.418066,4.775,2.378,0.084,0.815,1.498
397,3.426041,5.144,2.381,0.068,0.816,1.879
398,3.434544,4.966,2.391,0.079,0.818,1.678
399,3.4426,5.232,2.394,0.082,0.816,1.94
400,3.451162,5.01,2.345,0.078,0.814,1.773
401,3.461862,3.187,2.348,0.068,0.563,0.208
402,3.469728,3.65,2.342,0.06,1.04,0.208
403,3.478277,3.491,2.39,0.084,0.845,0.172
404,3.486828,3.285,2.335,0.062,0.678,0.21
405,3.494908,4.998,2.348,0.08,0.8,1.77
406,3.50335,4.891,2.395,0.075,0.798,1.623
407,3.511564,5.0,2.382,0.087,0.795,1.736
408,3.520165,4.8,2.343,0.08,0.82,1.557
409,3.530532,3.338,2.389,0.098,0.674,0.177
410,3.540516,3.521,2.408,0.118,0.804,0.191
411,3.549061,3.46,2.383,0.115,0.763,0.199
412,3.557374,3.446,2.41,0.052,0.777,0.207
413,3.565454,3.721,2.366,0.078,1.083,0.194
414,3.574007,3.515,2.392,0.063,0.837,0.223
415,3.582275,3.555,2.389,0.088,0.903,0.175
416,3.590807,3.364,2.35,0.063,0.745,0.206
417,3.5992,3.301,2.378,0.082,0.658,0.183
418,3.607148,3.692,2.388,0.064,1.031,0.209
419,3.615772,3.453,2.362,0.059,0.823,0.209
420,3.624192,3.427,2.354,0.072,0.808,0.193
421,3.632544,4.776,2.396,0.078,0.727,1.575
422,3.640923,4.74,2.347,0.077,0.73,1.586
423,3.650958,5.169,2.347,0.06,0.791,1.971
424,3.659588,4.88,2.419,0.086,0.786,1.589
425,3.667777,5.03,2.351,0.092,0.792,1.795
426,3.676438,4.699,2.39,0.073,0.79,1.446
427,3.684249,5.262,2.382,0.078,0.836,1.966
428,3.692889,5.03,2.332,0.098,0.865,1.735
429,3.701193,5.045,2.363,0.067,0.871,1.744
430,3.709856,4.677,2.296,0.078,0.867,1.436
431,3.719726,5.695,2.341,0.093,1.304,1.957
432,3.728256,5.481,2.377,0.064,1.308,1.732
433,3.736816,5.285,2.353,0.085,1.31,1.537
434,3.744876,5.54,2.341,0.095,1.312,1.792
435,3.753158,5.578,2.363,0.073,1.304,1.838
436,3.761638,5.446,2.389,0.091,1.31,1.656
437,3.772471,3.33,2.392,0.086,0.653,0.199
438,3.782192,3.431,2.377,0.089,0.779,0.186
439,3.790524,3.421,2.383,0.089,0.777,0.172
440,3.799102,3.492,2.369,0.077,0.838,0.208
441,3.807319,3.582,2.408,0.096,0.892,0.186
442,3.815546,3.704,2.344,0.087,1.084,0.189
443,3.823855,3.72,2.349,0.064,1.11,0.197
444,3.832194,5.005,2.388,0.081,0.6,1.936
445,3.840687,5.024,2.366,0.076,0.787,1.795
446,3.849267,4.788,2.375,0.064,0.786,1.563
447,3.857203,5.153,2.29,0.068,0.785,2.01
448,3.866046,4.831,2.359,0.078,0.791,1.603
449,3.874117,4.968,2.385,0.069,0.789,1.725
450,3.882174,5.234,2.348,0.09,0.791,2.005
451,3.890878,4.85,2.328,0.073,0.787,1.662
452,3.901326,3.195,2.335,0.085,0.603,0.172
453,3.90968,3.266,2.364,0.064,0.593,0.245
454,3.917732,3.517,2.356,0.054,0.883,0.224
455,3.926242,4.701,2.401,0.058,0.579,1.663
456,3.934299,5.033,2.396,0.076,0.641,1.92
457,3.942843,4.908,2.357,0.071,0.756,1.724
458,3.951306,4.797,2.39,0.058,0.756,1.593
459,3.961649,3.443,2.395,0.071,0.809,0.168
460,3.969827,3.614,2.334,0.064,1.025,0.191
461,3.978342,3.467,2.389,0.076,0.819,0.183
462,3.986487,3.646,2.384,0.088,1.005,0.169
463,3.995013,3.464,2.347,0.065,0.854,0.198
464,4.003197,3.614,2.387,0.067,0.968,0.192
465,4.011695,3.479,2.353,0.078,0.874,0.174
466,4.020017,3.586,2.375,0.08,0.862,0.269
467,4.030206,4.997,2.375,0.058,0.674,1.89
468,4.040557,3.476,2.392,0.083,0.813,0.188
469,4.049074,3.551,2.413,0.071,0.848,0.219
470,4.057274,3.662,2.349,0.086,1.044,0.183
471,4.065475,3.797,2.343,0.083,1.189,0.182
472,4.074034,3.583,2.39,0.079,0.911,0.203
473,4.082275,5.083,2.386,0.078,0.784,1.835
474,4.090881,4.815,2.335,0.07,0.778,1.632
475,4.099195,4.827,2.394,0.083,0.78,1.57
476,4.107658,4.721,2.351,0.084,0.787,1.499
477,4.115849,4.856,2.347,0.085,0.786,1.638
478,4.124017,5.025,2.35,0.07,0.782,1.823
479,4.132152,5.21,2.403,0.091,0.805,1.911
480,4.14307,3.263,2.376,0.059,0.616,0.212
481,4.151142,4.83,2.398,0.051,0.644,1.737
482,4.159445,5.028,2.397,0.082,0.792,1.757
483,4.167952,4.873,2.374,0.082,0.794,1.623
484,4.176024,5.166,2.368,0.07,0.836,1.892
485,4.184527,4.968,2.382,0.079,0.836,1.671
486,4.193139,4.694,2.398,0.087,0.833,1.376
487,4.201113,5.071,2.398,0.071,0.833,1.769
488,4.211668,3.478,2.376,0.076,0.828,0.198
489,4.219867,3.628,2.361,0.065,0.978,0.224
490,4.228391,3.564,2.384,0.074,0.895,0.211
491,4.236714,3.581,2.334,0.082,0.961,0.204
492,4.245155,4.835,2.348,0.076,0.896,1.515
493,4.253147,5.228,2.389,0.071,0.896,1.872
494,4.261309,5.35,2.38,0.082,0.912,1.976
495,4.272187,3.894,2.335,0.095,1.281,0.183
496,4.282229,3.836,2.428,0.155,1.006,0.247
497,4.290675,3.741,2.331,0.077,1.089,0.244
498,4.298889,3.823,2.491,0.175,0.934,0.223
499,4.307105,3.959,2.327,0.122,1.283,0.227
500,4.315563,3.856,2.343,0.094,1.177,0.242
501,4.323927,3.803,2.362,0.104,1.116,0.221
502,4.332153,5.283,2.366,0.072,0.842,2.003
503,4.340721,5.067,2.331,0.089,0.843,1.804
504,4.34956,4.557,2.374,0.088,0.835,1.26
505,4.357297,5.13,2.366,0.092,0.836,1.836
506,4.36567,5.095,2.369,0.084,0.841,1.801
507,4.374259,4.832,2.378,0.088,0.839,1.527
508,4.382583,4.86,2.384,0.089,0.842,1.545
509,4.390832,4.943,2.352,0.068,0.843,1.68
510,4.401062,3.536,2.351,0.068,0.846,0.271
511,4.40963,3.582,2.387,0.062,0.898,0.235
512,4.417741,3.799,2.34,0.055,1.167,0.237
